mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	0	0	0.5	0	3/4	4/4	2	1	1/8			1/8	1		7	61	C#4	4	2
1	0	0	0	0.5	0	3/4	4/4	1	1	1/8			1/8	1		3	69	A4	4	0
1	0	3/4	3/4	0.25	3/16	15/16	4/4	2	1	1/16			1/16	1		4	64	E4	4	3
1	0	3/4	3/4	0.25	3/16	15/16	4/4	1	1	1/16			1/16	1		5	71	B4	4	1
2	1	1	1	0.0	0	0	4/4	1	1	0	acciaccatura		1/8	1		2	74	D5	5	4
2	1	1	1	1.0	0	0	4/4	2	1	1/4			1/4	1		3	69	A4	4	10
2	1	1	1	1.0	0	0	4/4	1	1	1/4			1/4	1		7	73	C#5	5	5
2	1	2	2	0.5	1/4	1/4	4/4	2	1	1/8			1/8	1		8	68	G#4	4	11
2	1	2	2	0.5	1/4	1/4	4/4	1	1	1/8			1/8	1		5	71	B4	4	6
2	1	5/2	5/2	0.5	3/8	3/8	4/4	2	1	1/8			1/8	1		3	69	A4	4	12
2	1	5/2	5/2	0.5	3/8	3/8	4/4	1	1	1/8			1/8	1		7	73	C#5	5	7
2	1	3	3	1.5	1/2	1/2	4/4	2	1	3/8			1/4	3/2		5	71	B4	4	13
2	1	3	3	1.5	1/2	1/2	4/4	1	1	3/8			1/4	3/2		2	74	D5	5	8
2	1	9/2	9/2	0.5	7/8	7/8	4/4	2	1	1/8			1/8	1		3	69	A4	4	14
2	1	9/2	9/2	0.5	7/8	7/8	4/4	1	1	1/8			1/8	1		7	73	C#5	5	9
3	2	5	5	1.0	0	0	4/4	3	1	1/4			1/4	1		4	52	E3	3	25
3	2	5	5	0.5	0	0	4/4	2	1	1/8			1/8	1		3	69	A4	4	20
3	2	5	5	0.5	0	0	4/4	1	1	1/8			1/8	1		7	73	C#5	5	15
3	2	11/2	11/2	0.5	1/8	1/8	4/4	4	1	1/8			1/8	1		4	52	E3	3	26
3	2	11/2	11/2	0.5	1/8	1/8	4/4	2	1	1/8			1/8	1		8	68	G#4	4	21
3	2	11/2	11/2	0.5	1/8	1/8	4/4	1	1	1/8			1/8	1		5	71	B4	4	16
3	2	6	6	0.5	1/4	1/4	4/4	4	1	1/8			1/8	1		5	47	B2	2	27
3	2	6	6	1.0	1/4	1/4	4/4	2	1	1/4			1/4	1		8	68	G#4	4	22
3	2	6	6	1.0	1/4	1/4	4/4	1	1	1/4			1/4	1		5	71	B4	4	17
3	2	13/2	13/2	0.5	3/8	3/8	4/4	4	1	1/8			1/8	1		8	44	G#2	2	28
3	2	7	7	1.0	1/2	1/2	4/4	4	1	1/4			1/4	1		4	40	E2	2	29
3	2	8	8	0.5	3/4	3/4	4/4	2	1	1/8			1/8	1		4	64	E4	4	23
3	2	8	8	0.5	3/4	3/4	4/4	1	1	1/8			1/8	1		5	71	B4	4	18
3	2	35/4	35/4	0.25	15/16	15/16	4/4	2	1	1/16			1/16	1		3	69	A4	4	24
3	2	35/4	35/4	0.25	15/16	15/16	4/4	1	1	1/16			1/16	1		7	73	C#5	5	19
4	3	9	9	0.0	0	0	4/4	1	1	0	acciaccatura		1/8	1		4	76	E5	5	30
4	3	9	9	1.0	0	0	4/4	2	1	1/4			1/4	1		5	71	B4	4	36
4	3	9	9	1.0	0	0	4/4	1	1	1/4			1/4	1		2	74	D5	5	31
4	3	10	10	0.5	1/4	1/4	4/4	2	1	1/8			1/8	1		3	69	A4	4	37
4	3	10	10	0.5	1/4	1/4	4/4	1	1	1/8			1/8	1		7	73	C#5	5	32
4	3	21/2	21/2	0.5	3/8	3/8	4/4	2	1	1/8			1/8	1		5	71	B4	4	38
4	3	21/2	21/2	0.5	3/8	3/8	4/4	1	1	1/8			1/8	1		2	74	D5	5	33
4	3	11	11	1.5	1/2	1/2	4/4	2	1	3/8			1/4	3/2		7	73	C#5	5	39
4	3	11	11	1.5	1/2	1/2	4/4	1	1	3/8			1/4	3/2		4	76	E5	5	34
4	3	25/2	25/2	0.5	7/8	7/8	4/4	2	1	1/8			1/8	1		5	71	B4	4	40
4	3	25/2	25/2	0.5	7/8	7/8	4/4	1	1	1/8			1/8	1		2	74	D5	5	35
