mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	1.0	0	0	2/2	1	1	1/4			1/4	1		2	74	D5	5	0
1	1	1	0.75	1/4	1/4	2/2	1	1	3/16			1/8	3/2		2	74	D5	5	1
1	1	7/4	0.25	7/16	7/16	2/2	1	1	1/16			1/16	1		2	74	D5	5	2
1	1	2	1.0	1/2	1/2	2/2	4	1	1/4			1/4	1		1	55	G3	3	10
1	1	2	1.0	1/2	1/2	2/2	3	1	1/4			1/4	1		2	62	D4	4	7
1	1	2	1.0	1/2	1/2	2/2	2	1	1/4			1/4	1		-2	70	Bb4	4	4
1	1	2	1.0	1/2	1/2	2/2	1	1	1/4			1/4	1		2	74	D5	5	3
1	1	3	0.75	3/4	3/4	2/2	4	1	3/16			1/8	3/2		1	55	G3	3	11
1	1	3	0.75	3/4	3/4	2/2	3	1	3/16			1/8	3/2		2	62	D4	4	8
1	1	3	0.75	3/4	3/4	2/2	2	1	3/16			1/8	3/2		-2	70	Bb4	4	5
1	1	15/4	0.25	15/16	15/16	2/2	4	1	1/16			1/16	1		1	55	G3	3	12
1	1	15/4	0.25	15/16	15/16	2/2	3	1	1/16			1/16	1		2	62	D4	4	9
1	1	15/4	0.25	15/16	15/16	2/2	2	1	1/16			1/16	1		-2	70	Bb4	4	6
2	2	4	1.0	0	0	2/2	4	1	1/4			1/4	1		6	54	F#3	3	25
2	2	4	1.0	0	0	2/2	3	1	1/4			1/4	1		2	62	D4	4	21
2	2	4	1.0	0	0	2/2	2	1	1/4			1/4	1		3	69	A4	4	17
2	2	4	1.0	0	0	2/2	1	1	1/4			1/4	1		2	74	D5	5	13
2	2	5	0.75	1/4	1/4	2/2	1	1	3/16			1/8	3/2		2	74	D5	5	14
2	2	23/4	0.25	7/16	7/16	2/2	1	1	1/16			1/16	1		2	74	D5	5	15
2	2	6	1.0	1/2	1/2	2/2	4	1	1/4			1/4	1		3	57	A3	3	26
2	2	6	1.0	1/2	1/2	2/2	3	1	1/4			1/4	1		2	62	D4	4	22
2	2	6	0.75	1/2	1/2	2/2	2	1	3/16			1/8	3/2		0	72	C5	5	18
2	2	6	1.0	1/2	1/2	2/2	1	1	1/4			1/4	1		2	74	D5	5	16
2	2	27/4	0.25	11/16	11/16	2/2	2	1	1/16			1/16	1		0	72	C5	5	19
2	2	7	0.75	3/4	3/4	2/2	4	1	3/16			1/8	3/2		3	57	A3	3	27
2	2	7	0.75	3/4	3/4	2/2	3	1	3/16			1/8	3/2		2	62	D4	4	23
2	2	7	1.0	3/4	3/4	2/2	2	1	1/4			1/4	1		0	72	C5	5	20
2	2	31/4	0.25	15/16	15/16	2/2	4	1	1/16			1/16	1		3	57	A3	3	28
2	2	31/4	0.25	15/16	15/16	2/2	3	1	1/16			1/16	1		2	62	D4	4	24
3	3	8	1.0	0	0	2/2	4	1	1/4			1/4	1		1	55	G3	3	42
3	3	8	1.0	0	0	2/2	3	1	1/4			1/4	1		2	62	D4	4	41
3	3	8	1.0	0	0	2/2	2	1	1/4			1/4	1		-2	70	Bb4	4	35
3	3	8	1.0	0	0	2/2	1	1	1/4			1/4	1		-2	82	Bb5	5	29
3	3	9	0.75	1/4	1/4	2/2	2	1	3/16			1/8	3/2		2	74	D5	5	36
3	3	9	0.75	1/4	1/4	2/2	1	1	3/16			1/8	3/2		-2	82	Bb5	5	30
3	3	39/4	0.25	7/16	7/16	2/2	2	1	1/16			1/16	1		2	74	D5	5	37
3	3	39/4	0.25	7/16	7/16	2/2	1	1	1/16			1/16	1		-2	82	Bb5	5	31
3	3	10	1.5	1/2	1/2	2/2	2	1	3/8			1/4	3/2		2	74	D5	5	38
3	3	10	1.5	1/2	1/2	2/2	1	1	3/8			1/4	3/2		-2	82	Bb5	5	32
3	3	23/2	0.25	7/8	7/8	2/2	2	1	1/16			1/16	1		0	72	C5	5	39
3	3	23/2	0.25	7/8	7/8	2/2	1	1	1/16			1/16	1		3	81	A5	5	33
3	3	47/4	0.25	15/16	15/16	2/2	2	1	1/16			1/16	1		-2	70	Bb4	4	40
3	3	47/4	0.25	15/16	15/16	2/2	1	1	1/16			1/16	1		1	79	G5	5	34
4	4	12	1.0	0	0	2/2	4	1	1/4			1/4	1		0	60	C4	4	51
4	4	12	1.0	0	0	2/2	3	1	1/4			1/4	1		-3	63	Eb4	4	45
4	4	12	4.0	0	0	2/2	2	1	1			1	1		3	69	A4	4	44
4	4	12	4.0	0	0	2/2	1	1	1			1	1		6	78	F#5	5	43
4	4	13	0.75	1/4	1/4	2/2	4	1	3/16			1/8	3/2		0	60	C4	4	52
4	4	13	0.75	1/4	1/4	2/2	3	1	3/16			1/8	3/2		-3	63	Eb4	4	46
4	4	55/4	0.25	7/16	7/16	2/2	4	1	1/16			1/16	1		0	60	C4	4	53
4	4	55/4	0.25	7/16	7/16	2/2	3	1	1/16			1/16	1		-3	63	Eb4	4	47
4	4	14	1.5	1/2	1/2	2/2	4	1	3/8			1/4	3/2		0	60	C4	4	54
4	4	14	1.5	1/2	1/2	2/2	3	1	3/8			1/4	3/2		-3	63	Eb4	4	48
4	4	31/2	0.25	7/8	7/8	2/2	4	1	1/16			1/16	1		-2	58	Bb3	3	55
4	4	31/2	0.25	7/8	7/8	2/2	3	1	1/16			1/16	1		2	62	D4	4	49
4	4	63/4	0.25	15/16	15/16	2/2	4	1	1/16			1/16	1		3	57	A3	3	56
4	4	63/4	0.25	15/16	15/16	2/2	3	1	1/16			1/16	1		0	60	C4	4	50
5	5	16	2.0	0	0	2/2	4	1	1/2			1/2	1		1	55	G3	3	67
5	5	16	2.0	0	0	2/2	3	1	1/2			1/2	1		2	62	D4	4	65
5	5	16	2.0	0	0	2/2	2	1	1/2			1/2	1		-2	70	Bb4	4	63
5	5	16	0.5	0	0	2/2	1	1	1/8			1/8	1		1	79	G5	5	57
5	5	33/2	0.5	1/8	1/8	2/2	1	1	1/8			1/8	1		2	86	D6	6	58
5	5	17	1.5	1/4	1/4	2/2	1	1	3/8			1/4	3/2		2	86	D6	6	59
5	5	18	2.0	1/2	1/2	2/2	3	1	1/2			1/2	1		1	55	G3	3	66
5	5	18	2.0	1/2	1/2	2/2	4	1	1/2			1/2	1		-2	58	Bb3	3	68
5	5	18	2.0	1/2	1/2	2/2	2	1	1/2			1/2	1		1	67	G4	4	64
5	5	37/2	0.5	5/8	5/8	2/2	1	1	1/8			1/8	1		-2	82	Bb5	5	60
5	5	19	0.5	3/4	3/4	2/2	1	1	1/8			1/8	1		1	79	G5	5	61
5	5	39/2	0.5	7/8	7/8	2/2	1	1	1/8			1/8	1		2	74	D5	5	62
6	6	20	0.0	0	0	2/2	1	1	0	appoggiatura		1/8	1		-1	77	F5	5	69
6	6	20	1.0	0	0	2/2	3	1	1/4			1/4	1		1	55	G3	3	76
6	6	20	1.0	0	0	2/2	4	1	1/4			1/4	1		0	60	C4	4	78
6	6	20	1.0	0	0	2/2	2	1	1/4			1/4	1		1	67	G4	4	74
6	6	20	1.0	0	0	2/2	1	1	1/4			1/4	1		-3	75	Eb5	5	70
6	6	21	1.0	1/4	1/4	2/2	3	1	1/4			1/4	1		1	55	G3	3	77
6	6	21	1.0	1/4	1/4	2/2	4	1	1/4			1/4	1		-2	58	Bb3	3	79
6	6	21	1.0	1/4	1/4	2/2	2	1	1/4			1/4	1		1	67	G4	4	75
6	6	21	1.0	1/4	1/4	2/2	1	1	1/4			1/4	1		2	74	D5	5	71
6	6	22	1.0	1/2	1/2	2/2	4	1	1/4			1/4	1		1	43	G2	2	80
6	6	23	0.5	3/4	3/4	2/2	1	1	1/8			1/8	1		1	79	G5	5	72
6	6	47/2	0.5	7/8	7/8	2/2	1	1	1/8			1/8	1		2	74	D5	5	73
7	7	24	1.0	0	0	2/2	4	1	1/4			1/4	1		3	57	A3	3	94
7	7	24	1.0	0	0	2/2	2	1	1/4			1/4	1		-3	63	Eb4	4	85
7	7	24	0.5	0	0	2/2	1	1	1/8			1/8	1		2	74	D5	5	81
7	7	49/2	0.5	1/8	1/8	2/2	1	1	1/8			1/8	1		0	72	C5	5	82
7	7	25	0.75	1/4	1/4	2/2	4	1	3/16			1/8	3/2		3	57	A3	3	95
7	7	25	0.75	1/4	1/4	2/2	2	1	3/16			1/8	3/2		-3	63	Eb4	4	86
7	7	25	2.0	1/4	1/4	2/2	1	1	1/2			1/2	1		0	72	C5	5	83
7	7	103/4	0.25	7/16	7/16	2/2	4	1	1/16			1/16	1		3	57	A3	3	96
7	7	103/4	0.25	7/16	7/16	2/2	2	1	1/16			1/16	1		-3	63	Eb4	4	87
7	7	26	1.0	1/2	1/2	2/2	4	1	1/4			1/4	1		1	55	G3	3	97
7	7	26	1.0	1/2	1/2	2/2	3	1	1/4			1/4	1		3	57	A3	3	91
7	7	26	1.0	1/2	1/2	2/2	2	1	1/4			1/4	1		-3	63	Eb4	4	88
7	7	27	0.75	3/4	3/4	2/2	4	1	3/16			1/8	3/2		1	55	G3	3	98
7	7	27	0.75	3/4	3/4	2/2	3	1	3/16			1/8	3/2		3	57	A3	3	92
7	7	27	0.75	3/4	3/4	2/2	2	1	3/16			1/8	3/2		-3	63	Eb4	4	89
7	7	27	1.0	3/4	3/4	2/2	1	1	1/4			1/4	1		0	72	C5	5	84
7	7	111/4	0.25	15/16	15/16	2/2	4	1	1/16			1/16	1		1	55	G3	3	99
7	7	111/4	0.25	15/16	15/16	2/2	3	1	1/16			1/16	1		3	57	A3	3	93
7	7	111/4	0.25	15/16	15/16	2/2	2	1	1/16			1/16	1		-3	63	Eb4	4	90
8	8	28	4.0	0	0	2/2	4	1	1			1	1		6	54	F#3	3	115
8	8	28	0.5	0	0	2/2	3	1	1/8			1/8	1		3	57	A3	3	111
8	8	28	3.0	0	0	2/2	2	1	3/4			1/2	3/2		2	62	D4	4	109
8	8	28	0.5	0	0	2/2	1	1	1/8			1/8	1		0	72	C5	5	100
8	8	57/2	0.5	1/8	1/8	2/2	3	1	1/8			1/8	1		0	60	C4	4	112
8	8	57/2	0.5	1/8	1/8	2/2	1	1	1/8			1/8	1		3	81	A5	5	101
8	8	29	2.0	1/4	1/4	2/2	3	1	1/2			1/2	1		0	60	C4	4	113
8	8	29	1.0	1/4	1/4	2/2	1	1	1/4			1/4	1	1	3	81	A5	5	102
8	8	30	0.3333333333333333	1/2	1/2	2/2	1	1	1/12			1/8	2/3	-1	3	81	A5	5	103
8	8	91/3	0.3333333333333333	7/12	7/12	2/2	1	1	1/12			1/8	2/3		1	79	G5	5	104
8	8	92/3	0.3333333333333333	2/3	2/3	2/2	1	1	1/12			1/8	2/3		6	78	F#5	5	105
8	8	31	1.0	3/4	3/4	2/2	3	1	1/4			1/4	1		2	62	D4	4	114
8	8	31	1.0	3/4	3/4	2/2	2	1	1/4			1/4	1		3	69	A4	4	110
8	8	31	0.3333333333333333	3/4	3/4	2/2	1	1	1/12			1/8	2/3		-3	75	Eb5	5	106
8	8	94/3	0.3333333333333333	5/6	5/6	2/2	1	1	1/12			1/8	2/3		2	74	D5	5	107
8	8	95/3	0.3333333333333333	11/12	11/12	2/2	1	1	1/12			1/8	2/3		0	72	C5	5	108
9	9	32	2.0	0	0	2/2	4	1	1/2			1/2	1		1	55	G3	3	127
9	9	32	2.0	0	0	2/2	3	1	1/2			1/2	1		2	62	D4	4	124
9	9	32	0.5	0	0	2/2	2	1	1/8			1/8	1		1	67	G4	4	120
9	9	32	0.5	0	0	2/2	1	1	1/8			1/8	1		-2	70	Bb4	4	116
9	9	65/2	0.5	1/8	1/8	2/2	2	1	1/8			1/8	1		-2	70	Bb4	4	121
9	9	65/2	0.5	1/8	1/8	2/2	1	1	1/8			1/8	1		1	79	G5	5	117
9	9	33	2.0	1/4	1/4	2/2	2	1	1/2			1/2	1		-2	70	Bb4	4	122
9	9	33	2.0	1/4	1/4	2/2	1	1	1/2			1/2	1		1	79	G5	5	118
9	9	34	2.0	1/2	1/2	2/2	4	1	1/2			1/2	1		-3	51	Eb3	3	128
9	9	34	1.0	1/2	1/2	2/2	3	1	1/4			1/4	1		7	61	C#4	4	125
9	9	35	1.0	3/4	3/4	2/2	2	1	1/4			1/4	1		1	67	G4	4	123
9	9	35	1.0	3/4	3/4	2/2	3	1	1/4			1/4	1		1	67	G4	4	126
9	9	35	1.0	3/4	3/4	2/2	1	1	1/4			1/4	1		7	73	C#5	5	119
10	10	36	1.0	0	0	2/2	4	1	1/4			1/4	1		2	50	D3	3	138
10	10	36	1.0	0	0	2/2	2	1	1/4			1/4	1		6	66	F#4	4	132
10	10	36	1.0	0	0	2/2	3	1	1/4			1/4	1		3	69	A4	4	135
10	10	36	1.0	0	0	2/2	1	1	1/4			1/4	1		2	74	D5	5	129
10	10	37	1.0	1/4	1/4	2/2	4	1	1/4			1/4	1		2	50	D3	3	139
10	10	37	1.0	1/4	1/4	2/2	1	1	1/4			1/4	1		2	62	D4	4	130
10	10	37	1.0	1/4	1/4	2/2	2	1	1/4			1/4	1		2	62	D4	4	133
10	10	37	1.0	1/4	1/4	2/2	3	1	1/4			1/4	1		2	62	D4	4	136
10	10	38	1.0	1/2	1/2	2/2	4	1	1/4			1/4	1		2	50	D3	3	140
10	10	38	1.0	1/2	1/2	2/2	1	1	1/4			1/4	1		2	62	D4	4	131
10	10	38	1.0	1/2	1/2	2/2	2	1	1/4			1/4	1		2	62	D4	4	134
10	10	38	1.0	1/2	1/2	2/2	3	1	1/4			1/4	1		2	62	D4	4	137
11	11	40	1.0	0	0	2/2	4	1	1/4			1/4	1		2	62	D4	4	157
11	11	41	0.75	1/4	1/4	2/2	4	1	3/16			1/8	3/2		2	62	D4	4	158
11	11	167/4	0.25	7/16	7/16	2/2	4	1	1/16			1/16	1		2	62	D4	4	159
11	11	42	1.0	1/2	1/2	2/2	4	1	1/4			1/4	1		2	62	D4	4	160
