mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	1.0	0	3/4	4/4	4	1		A.I6{		A	I		I6		I		6				{	M	0	0	4, 1, 0		0	4
2	1	1	4.0	0	0	4/4	4	1		I		A	I		I		I							M	0	0	0, 4, 1		0	0
3	2	5	1.0	0	0	4/4	4	1		V(64)		A	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
3	2	6	3.0	1/4	1/4	4/4	4	1		V		A	I		V		V							M	0	0	1, 5, 2		1	1
4	3	9	4.0	0	0	4/4	4	1		V43		A	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
5	4	13	1.0	0	0	4/4	4	1		I(94)}		A	I		I(94)		I			94			}	M	0	0	0, -1, 1	2	0	0
5	4	14	3.0	1/4	1/4	4/4	4	1		I|IAC		A	I		I		I					IAC		M	0	0	0, 4, 1		0	0
5	4	16	0.0	3/4	3/4	4/4	4	1		{		A	I										{		0	0				
6	5	17	1.0	0	0	4/4	4	1		I(64)		A	I		I(64)		I			64				M	0	0	0, -1, 3		0	0
6	5	18	1.0	1/4	1/4	4/4	4	1		I		A	I		I		I							M	0	0	0, 4, 1		0	0
6	5	19	2.0	1/2	1/2	4/4	4	1		IV		A	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
7	6	21	1.0	0	0	4/4	4	1		I(64)		A	I		I(64)		I			64				M	0	0	0, -1, 3		0	0
7	6	22	1.0	1/4	1/4	4/4	4	1		I		A	I		I		I							M	0	0	0, 4, 1		0	0
7	6	23	2.0	1/2	1/2	4/4	4	1		IV		A	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
8	7	25	1.0	0	0	4/4	4	1		I		A	I		I		I							M	0	0	0, 4, 1		0	0
8	7	26	1.0	1/4	1/4	4/4	4	1		ii6		A	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
8	7	27	1.0	1/2	1/2	4/4	4	1		V(64)		A	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
8	7	28	1.0	3/4	3/4	4/4	4	1		V		A	I		V		V							M	0	0	1, 5, 2		1	1
9	8	29	2.0	0	0	4/4	4	1		I(^7^2)}		A	I		I(^7^2)		I			^7^2			}	M	0	0	0, 2, 1	5	0	0
9	8	31	1.0	1/2	1/2	4/4	4	1		I|IAC		A	I		I		I					IAC		M	0	0	0, 4, 1		0	0
9	8	32	1.0	3/4	3/4	4/4	4	1		I6{		A	I		I6		I		6				{	M	0	0	4, 1, 0		0	4
10	9	33	4.0	0	0	4/4	4	1		I		A	I		I		I							M	0	0	0, 4, 1		0	0
11	10	37	3.0	0	0	4/4	4	1		V6		A	I		V6		V		6					M	0	0	5, 2, 1		1	5
11	10	40	1.0	3/4	3/4	4/4	4	1		V		A	I		V		V							M	0	0	1, 5, 2		1	1
12	11	41	4.0	0	0	4/4	4	1		V43		A	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
13	12	45	6.0	0	0	4/4	4	1		I|IAC}		A	I		I		I					IAC	}	M	0	0	0, 4, 1		0	0
13	12	48	0.0	3/4	3/4	4/4	4	1		{		A	I										{		0	0				
14	13	51	2.0	1/2	1/2	4/4	4	1		IV		A	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
15	14	53	1.0	0	0	4/4	4	1		I(64)		A	I		I(64)		I			64				M	0	0	0, -1, 3		0	0
15	14	54	1.0	1/4	1/4	4/4	4	1		I		A	I		I		I							M	0	0	0, 4, 1		0	0
15	14	55	2.0	1/2	1/2	4/4	4	1		IV		A	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
16	15	57	1.0	0	0	4/4	4	1		I		A	I		I		I							M	0	0	0, 4, 1		0	0
16	15	58	1.0	1/4	1/4	4/4	4	1		IV		A	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
16	15	59	1.0	1/2	1/2	4/4	4	1		V(6)		A	I		V(6)		V			6				M	0	0	1, 5, 4		1	1
16	15	60	1.0	3/4	3/4	4/4	4	1		V6		A	I		V6		V		6					M	0	0	5, 2, 1		1	5
17	16	61	8.0	0	0	4/4	4	1		I|PAC}{		A	I		I		I					PAC	}{	M	0	0	0, 4, 1		0	0
19	18	69	1.0	0	0	4/4	4	1		V43(4)		A	I		V43(4)		V		43	4				Mm7	0	0	2, -1, 1, 0		1	2
19	18	70	3.0	1/4	1/4	4/4	4	1		V43		A	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
20	19	73	8.0	0	0	4/4	4	1		V7		A	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
22	21	81	1.0	0	0	4/4	4	1		I(4)}		A	I		I(4)		I			4			}	M	0	0	0, -1, 1		0	0
22	21	82	3.0	1/4	1/4	4/4	4	1		I|IAC		A	I		I		I					IAC		M	0	0	0, 4, 1		0	0
22	21	83	0.0	1/2	1/2	4/4	4	1		{		A	I										{		0	0				
23	22	85	2.0	0	0	4/4	4	1		I6		A	I		I6		I		6					M	0	0	4, 1, 0		0	4
23	22	87	2.0	1/2	1/2	4/4	4	1		V65/IV		A	I		V65/IV		V		65		IV			Mm7	0	0	4, 1, -2, 0		0	4
24	23	89	4.0	0	0	4/4	4	1		IV		A	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
25	24	93	2.0	0	0	4/4	4	1		V(64)		A	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
25	24	95	2.0	1/2	1/2	4/4	4	1		V		A	I		V		V							M	0	0	1, 5, 2		1	1
26	25	97	10.0	0	0	4/4	4	1		I|PAC}		A	I		I		I					PAC	}	M	0	0	0, 4, 1		0	0
27	26	101	0.0	0	0	4/4	4	1		{		A	I										{		0	0				
28	27	107	2.0	1/2	1/2	4/4	4	1		V		A	I		V		V							M	0	0	1, 5, 2		1	1
29	28	109	4.0	0	0	4/4	4	1		I6		A	I		I6		I		6					M	0	0	4, 1, 0		0	4
30	29	113	2.0	0	0	4/4	4	1		I		A	I		I		I							M	0	0	0, 4, 1		0	0
30	29	115	2.0	1/2	1/2	4/4	4	1		V		A	I		V		V							M	0	0	1, 5, 2		1	1
31	30	117	4.0	0	0	4/4	4	1		I6		A	I		I6		I		6					M	0	0	4, 1, 0		0	4
32	31	121	2.0	0	0	4/4	4	1		I		A	I		I		I							M	0	0	0, 4, 1		0	0
32	31	123	2.0	1/2	1/2	4/4	4	1		V2		A	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
33	32	125	2.0	0	0	4/4	4	1		I6		A	I		I6		I		6					M	0	0	4, 1, 0		0	4
33	32	127	2.0	1/2	1/2	4/4	4	1		V43		A	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
34	33	129	2.0	0	0	4/4	4	1		I		A	I		I		I							M	0	0	0, 4, 1		0	0
34	33	131	2.0	1/2	1/2	4/4	4	1		V2		A	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
35	34	133	2.0	0	0	4/4	4	1		I6		A	I		I6		I		6					M	0	0	4, 1, 0		0	4
35	34	135	2.0	1/2	1/2	4/4	4	1		V43		A	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
36	35	137	4.0	0	0	4/4	4	1		I}{		A	I		I		I						}{	M	0	0	0, 4, 1		0	0
37	36	141	4.0	0	0	4/4	4	1		V.V2		A	V		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
38	37	145	2.0	0	0	4/4	4	1		I6		A	V		I6		I		6					M	0	0	4, 1, 0		0	4
38	37	147	0.5	1/2	1/2	4/4	4	1		IV		A	V		IV		IV							M	0	0	-1, 3, 0		-1	-1
38	37	295/2	0.5	5/8	5/8	4/4	4	1		V		A	V		V		V							M	0	0	1, 5, 2		1	1
38	37	148	0.5	3/4	3/4	4/4	4	1		vi		A	V		vi		vi							m	0	0	3, 0, 4		3	3
38	37	297/2	0.5	7/8	7/8	4/4	4	1		viio		A	V		viio		vii	o						o	0	0	5, 2, -1		5	5
39	38	149	2.0	0	0	4/4	4	1		I		A	V		I		I							M	0	0	0, 4, 1		0	0
39	38	151	0.5	1/2	1/2	4/4	4	1		IV		A	V		IV		IV							M	0	0	-1, 3, 0		-1	-1
39	38	303/2	0.5	5/8	5/8	4/4	4	1		V		A	V		V		V							M	0	0	1, 5, 2		1	1
